latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.57225,26.03312,371.68,1.02,1.01,2023/6/9,1,A,100,6.1NRT,294.65,127.76,N
-14.57359,26.04249,365.61,1.02,1.01,2023/6/9,1,A,100,6.1NRT,296.48,106.51,N
-14.57494,26.05186,339.91,1.02,1.01,2023/6/9,1,A,100,6.1NRT,292.67,45.47,N
-14.58262,26.04114,338.13,1.02,1.01,2023/6/9,1,A,100,6.1NRT,290.69,42.91,N
-14.58397,26.05052,341.57,1.02,1.01,2023/6/9,1,A,100,6.1NRT,291.52,48.52,N
-14.58531,26.05989,327.11,1.02,1.01,2023/6/9,1,A,100,6.1NRT,290.04,27.16,N
-14.59435,26.05855,303.28,1.02,1.01,2023/6/9,1,A,54,6.1NRT,288.61,6.69,N
-14.76414,26.08801,309.45,1.03,1.01,2023/6/9,1,A,77,6.1NRT,288.79,11.07,N
-14.76549,26.09745,304.41,1.03,1.01,2023/6/9,1,A,60,6.1NRT,287.92,7.65,N
-18.36915,26.48466,301.27,1.13,1.06,2023/6/9,3,A,39,6.1NRT,289.92,6.95,N
-23.43711,23.81578,327.87,1.01,1.01,2023/6/9,3,A,100,6.1NRT,285.22,29.49,N
-23.43852,23.82561,360.87,1.01,1.01,2023/6/9,3,A,100,6.1NRT,291.33,93.24,N
-23.43994,23.83544,306.45,1.01,1.01,2023/6/9,3,A,34,6.1NRT,284.11,9.75,N
-23.44753,23.82412,312.95,1.01,1.01,2023/6/9,3,A,17,6.1NRT,284.88,13.45,N
-23.45625,23.82604,303.62,1.01,1.01,2023/6/9,3,A,34,6.1NRT,282.93,8.43,N
-23.46886,23.91474,320.97,1.02,1.01,2023/6/9,3,A,100,6.1NRT,282.72,23.07,N
-23.46525,23.82455,320.64,1.01,1.01,2023/6/9,3,A,100,6.1NRT,282.37,21.49,N
-23.46666,23.83439,301.98,1.01,1.01,2023/6/9,3,A,22,6.1NRT,281.73,7.45,N
-23.4863,23.97257,309.32,1.02,1.01,2023/6/9,3,A,77,6.1NRT,282.3,12.86,N
-23.53041,23.69737,312.4,1.01,1,2023/6/9,3,A,76,6.1NRT,284.53,13.85,N
-23.53941,23.69587,306.55,1.01,1,2023/6/9,3,A,62,6.1NRT,283.18,10.2,N
-23.39726,21.36373,340.03,1.07,1.03,2023/6/9,3,A,100,6.1NRT,283.83,51.79,N
-23.40647,21.36202,301.77,1.07,1.03,2023/6/9,3,A,38,6.1NRT,278.96,9.02,N
-23.85746,24.11795,302.23,1.03,1.01,2023/6/9,3,A,12,6.1NRT,283.66,7.73,N
-23.85888,24.12799,306.72,1.03,1.02,2023/6/9,3,A,59,6.1NRT,283.24,10.64,N
-23.86547,24.12028,326.03,1.03,1.02,2023/6/9,3,A,100,6.1NRT,284.6,29.13,N
-23.95725,24.17742,304.07,1.04,1.02,2023/6/9,3,A,58,6.1NRT,280.24,10.44,N
-24.13377,23.67038,311.28,1.01,1.01,2023/6/9,3,A,82,6.1NRT,281.14,14.33,N
-24.14136,23.65899,300.55,1.01,1.01,2023/6/9,3,A,30,6.1NRT,280.58,7.67,N
-24.45972,24.54882,318.23,1.07,1.03,2023/6/9,3,A,96,6.1NRT,281.43,22.06,N
-24.32835,23.1755,325.44,1,1,2023/6/9,3,A,100,6.1NRT,278.08,27.96,N
-24.32978,23.18528,337.16,1,1,2023/6/9,3,A,100,6.1NRT,281.07,43.63,N
-24.32545,22.34843,323.63,1.01,1,2023/6/9,3,A,100,6.1NRT,282.31,25.49,N
-24.32693,22.35824,310.6,1.01,1,2023/6/9,3,A,73,6.1NRT,281.64,13.44,N
-24.33441,22.34683,325.32,1.01,1,2023/6/9,3,A,100,6.1NRT,281.22,26.75,N
-24.3359,22.35664,340.42,1.01,1,2023/6/9,3,A,100,6.1NRT,286.01,47.2,N
-24.34491,22.35837,321.64,1.01,1,2023/6/9,3,A,65,6.1NRT,283.87,22.06,N
-24.35387,22.35678,306.19,1.01,1,2023/6/9,3,A,12,6.1NRT,280.54,9.97,N
-24.35834,22.38617,332.66,1,1,2023/6/9,3,A,100,6.1NRT,282.71,35.03,N
-24.36432,22.36498,320.74,1,1,2023/6/9,3,A,50,6.1NRT,281.52,20.04,N
-4.69933,-43.84925,304.79,3.06,1.66,2023/6/9,33,T,62,6.1NRT,288.94,27.99,N
-4.69897,-43.85582,302.78,3.06,1.66,2023/6/9,33,T,47,6.1NRT,289.11,21.37,N
-3.59479,-38.86371,309.11,1.24,1.1,2023/6/9,33,T,76,6.1NRT,295.42,8.84,N
-24.59454,-42.57513,305.66,4.5,1.95,2023/6/9,26,T,35,6.1NRT,292.29,55.77,N
-20.23784,-40.24964,304.33,2.69,1.57,2023/6/9,26,T,60,6.1NRT,290.77,27.23,N
-20.24741,-40.25526,304.25,2.69,1.57,2023/6/9,26,T,59,6.1NRT,290.44,25.68,N
-20.21093,-41.77734,301.46,3.51,1.76,2023/6/9,26,T,41,6.1NRT,284.8,43.54,N
-20.20093,-41.78415,300.15,3.51,1.76,2023/6/9,26,T,19,6.1NRT,285.1,39.4,N
59.92202,147.95544,318.99,1.01,1,2023/6/9,105,T,56,6.1NRT,297.42,12.19,D
59.0083,135.89087,322.82,2.29,1.46,2023/6/9,107,T,80,6.1NRT,296.48,53.54,D
59.01084,135.88467,318.23,2.29,1.46,2023/6/9,107,T,76,6.1NRT,296.26,42.12,D
